extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
0.05,349,306,8.65828,17.3624,12.925
0.05,338,67,9.52987,16.7835,9.96888
0.05,615,250,15.469,30.546,22.776
0.05,680,984,17.0784,33.8624,20.9981
0.05,518,608,11.4106,25.731,17.5154
0.05,486,161,10.0244,24.1801,16.2736
0.05,390,234,12.9917,19.4005,13.4701
0.05,567,261,13.571,28.2973,17.0015
0.05,574,856,11.4175,28.5232,20.1394
0.05,398,256,8.32182,19.8095,14.7967
0.05,367,253,9.69593,18.2467,10.5469
0.05,574,183,11.5636,28.5128,20.0294
0.05,520,125,10.8733,25.8433,14.0485
0.05,287,57,6.93011,14.2747,11.1444
0.05,345,192,9.01856,17.1821,12.2742
0.05,430,592,10.4323,21.371,16.0561
0.05,532,313,10.5347,26.4985,19.7608
0.05,521,190,12.605,25.9871,16.8893
0.05,460,188,11.3507,22.8593,15.1116
0.05,441,390,12.2867,21.9663,16.2699
0.05,519,375,11.9127,25.8423,18.4189
0.05,487,366,12.0743,24.2597,17.5491
0.05,573,239,11.6822,28.5202,21.8857
0.05,396,170,9.78916,19.6607,13.1532
0.05,501,236,9.23519,24.9127,15.8435
0.05,434,306,9.55627,21.6004,15.4717
0.05,493,379,10.8237,24.5711,17.8961
0.05,371,190,12.3967,18.419,12.0338
0.05,405,208,11.7397,20.1836,13.1648
0.05,526,649,12.2946,26.1445,18.6387
0.15,124,63,8.49575,18.2805,12.9582
0.15,195,274,12.6668,28.8708,20.9979
0.15,156,112,9.19742,23.0104,17.8371
0.15,216,280,15.2855,31.935,22.9677
0.15,189,218,15.1825,28.0033,19.9594
0.15,131,93,7.97241,19.3073,15.5978
0.15,112,75,9.11429,16.515,10.4486
0.15,135,127,11.9072,19.9685,13.0817
0.15,156,149,12.7112,22.941,15.9365
0.15,97,55,7.68374,14.2628,9.15027
0.15,211,403,14.7814,31.1557,22.0891
0.15,108,133,10.4696,15.9758,10.6683
0.15,134,79,9.14661,19.8315,13.3401
0.15,160,177,12.9093,23.6744,16.3106
0.15,146,570,9.50622,21.7059,13.6462
0.15,116,94,7.76515,16.9678,12.6179
