extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
2.15,7,26,6.33603,11.4029,8.80185
2.15,10,80,6.69173,16.9174,13.5707
2.15,10,68,6.58709,16.8429,11.6198
2.15,12,81,7.38871,20.4462,16.3229
2.15,13,105,7.51058,22.6831,19.0666
2.15,10,82,7.9728,19.0019,11.7174
2.15,13,50,8.06216,21.9436,14.627
2.15,7,41,5.99249,12.0769,9.10361
2.15,16,136,11.222,28.8352,20.7429
2.15,11,85,6.29028,18.5929,13.5757
2.15,12,43,6.86244,21.202,13.5668
2.15,12,43,7.2079,19.3396,12.553
2.15,9,70,5.97093,14.3892,13.3248
2.15,11,63,6.93821,18.626,11.826
2.15,12,53,9.46997,19.2665,13.2643
2.15,8,82,5.98379,13.1636,9.6965
2.15,8,45,5.96675,11.673,9.67699
2.15,17,104,10.1858,31.1963,20.8756
2.15,9,131,7.08245,16.4147,13.1107
2.15,8,29,5.88655,13.5921,8.95923
2.15,9,77,7.76806,16.6988,13.8011
2.15,10,36,7.28012,19.0434,14.3315
2.15,14,206,7.86986,25.3314,16.2449
2.15,10,73,5.75652,16.776,13.066
2.15,9,90,6.90126,15.0531,13.0824
2.15,16,96,9.97339,27.4022,19.572
2.15,14,70,7.59927,23.3405,18.4703
2.15,13,126,7.95098,23.6962,18.9156
2.15,10,55,7.74195,17.6674,13.0297
2.15,14,101,8.9975,23.4249,17.7353
2.15,11,107,7.9483,19.3064,13.469
2.15,11,56,6.70537,17.8619,13.7313
2.15,8,92,5.6544,14.5142,10.6423
2.15,14,80,8.41045,24.2987,17.7711
2.15,15,68,8.7662,27.2049,17.0724
2.15,12,43,7.23276,22.1061,16.391
2.15,13,79,7.40149,24.0087,14.6104
2.15,10,87,8.25739,15.9916,13.5639
2.15,12,67,7.39494,20.3656,15.1839
2.15,8,128,7.11675,14.2406,11.2887
2.15,12,65,6.57219,20.8859,15.0143
2.15,11,53,6.65395,18.7256,14.1257
2.15,8,94,7.40784,14.3228,8.42704
2.15,11,51,9.29487,20.3768,14.4722
2.15,14,118,9.9107,23.9729,16.9695
2.15,12,73,7.72333,20.3219,16.0406
2.15,11,96,6.31614,17.7492,13.797
2.15,14,70,6.94414,23.9341,18.9837
2.15,8,33,6.22469,12.7424,9.44559
2.15,9,76,5.70684,14.8132,11.7614
2.15,12,65,9.85339,22.4814,17.121
2.15,9,73,7.98086,15.9688,11.0767
2.15,18,124,10.9311,32.7931,21.925
2.15,16,121,9.21963,28.3542,19.2876
2.15,11,128,8.42925,21.4117,14.4607
2.15,10,111,8.25965,18.563,13.4634
2.15,11,85,7.62604,18.9203,14.178
2.15,17,114,10.1933,29.2658,22.2064
2.15,13,71,9.55316,24.5843,14.9269
2.15,10,53,6.7582,16.5379,11.9474
2.15,11,125,8.32517,20.7011,13.8722
2.15,9,83,5.90847,15.3157,11.6857
2.15,12,50,9.59847,21.7261,16.8527
2.15,10,74,9.09215,17.9062,11.8084
2.15,11,81,7.27205,20.4229,15.4724
2.15,9,82,7.45409,15.4173,10.9931
2.15,10,112,7.79701,16.0961,11.9451
2.15,11,65,7.84935,19.2339,13.1519
2.15,12,46,7.62956,21.9034,14.8713
2.15,8,38,6.37945,13.8242,8.86051
2.15,10,78,6.49189,16.8868,13.8798
2.15,8,99,6.64376,14.7206,9.88379
2.15,11,62,7.79287,19.8194,13.2704
2.15,9,104,7.01541,16.7786,13.0331
2.15,8,41,6.67803,14.5953,11.8191
2.15,12,82,9.40652,21.2955,14.4679
2.15,9,87,5.64599,14.662,11.5942
2.15,12,112,9.98788,20.8085,13.1961
2.15,9,52,5.66033,15.0819,12.2894
