extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
0.05,568,238,12.7622,28.2748,19.0596
0.05,388,134,8.46644,19.3217,12.9532
0.05,447,212,10.6279,22.2317,14.1243
0.05,496,189,8.97627,24.7239,18.3655
0.05,504,285,10.4617,25.1085,17.8216
0.05,269,63,8.19947,13.3286,10.3076
0.05,324,183,7.79198,16.068,10.8
0.05,619,264,10.1293,30.8455,22.5808
0.05,413,121,8.41086,20.5432,16.565
0.05,327,167,8.6568,16.2559,13.582
0.05,408,352,10.4311,20.3035,12.8787
0.05,453,187,10.0831,22.5594,16.4453
0.05,642,312,13.9427,31.9045,21.628
0.05,674,201,13.9005,33.6275,21.5382
0.05,709,276,16.5675,35.3542,24.129
0.05,617,200,13.8229,30.7449,23.894
0.05,415,165,11.5236,20.6434,15.5286
0.05,639,226,14.294,31.824,20.6626
0.05,498,189,11.9248,24.8271,17.5058
0.05,537,226,9.35642,26.6885,17.5094
0.05,606,196,10.4425,30.2082,20.6105
0.05,527,335,17.0536,26.2653,17.5939
0.05,426,127,10.9483,21.1587,15.0094
0.05,433,134,10.9542,21.5307,13.7254
0.05,514,195,11.4369,25.5649,17.0384
0.05,545,271,12.2466,27.165,22.351
0.05,508,184,10.3892,25.3036,17.4101
0.05,482,150,9.37397,23.9733,17.4853
0.05,414,130,8.80378,20.6068,16.0532
0.05,462,116,8.40901,22.9936,16.3624
0.15,183,193,13.0271,26.9746,18.9172
0.15,124,183,9.68036,18.238,13.6765
0.15,149,88,9.92611,21.8839,14.5914
0.15,116,70,8.75123,16.9891,12.7028
0.15,132,108,9.32007,19.4837,13.2883
0.15,168,139,12.0437,24.6865,17.5961
0.15,149,126,12.4858,21.9321,14.438
0.15,188,205,13.8403,27.7922,19.9334
0.15,99,110,7.06273,14.5883,11.8162
0.15,130,88,10.687,19.0963,14.4597
0.15,134,174,10.1006,19.7553,15.2624
0.15,131,136,10.1064,19.2866,12.8478
0.15,193,242,11.6229,28.4374,18.4512
0.15,122,76,9.48886,18.0916,12.0669
0.15,212,83,11.2509,31.322,18.0975
0.15,104,83,9.04648,15.2864,10.758
0.15,193,138,14.1524,28.6798,19.6854
0.15,103,68,8.72703,15.2083,10.6953
0.15,93,62,9.21073,13.5808,10.0288
0.15,197,212,15.4188,29.0019,20.429
0.15,109,89,10.8879,16.1529,10.6911
0.15,142,132,9.44077,21.0021,16.9921
0.15,135,150,10.4096,19.8909,13.2367
0.15,132,75,10.8295,19.6345,15.2065
0.15,146,115,10.6729,21.3837,16.4517
0.15,184,224,9.81029,27.1389,18.0017
0.15,123,163,8.80723,18.0388,12.579
0.15,187,113,12.1444,27.693,19.4114
0.15,104,51,7.94252,15.3866,10.5793
0.15,178,126,14.6737,26.4121,18.9911
0.25,62,72,8.80399,14.9812,11.623
0.25,96,95,12.4862,23.3278,15.7813
0.25,142,135,14.9433,35.1015,24.9596
0.25,85,102,11.3239,20.8477,12.8604
0.25,100,72,11.9085,24.2881,15.3422
0.25,68,71,8.50857,16.505,10.6667
0.25,78,93,9.48263,19.008,12.9392
0.25,102,122,12.0025,25.0199,17.6384
0.25,77,98,12.1017,18.9109,13.6963
0.25,119,92,13.6102,29.2445,21.595
0.25,91,73,11.4619,22.3956,17.3086
0.25,129,189,14.9702,31.4295,18.712
0.25,103,69,11.5082,25.1354,17.7456
0.25,100,159,11.7234,24.6619,15.5938
0.25,105,125,11.5937,25.8543,18.8663
0.25,74,66,9.02879,18.0698,11.2094
0.25,99,180,13.7939,24.1718,18.0498
0.25,109,101,10.8141,26.3289,19.481
0.25,65,83,8.66723,15.7518,10.4987
0.25,89,140,11.6596,21.6605,15.1311
0.25,124,171,12.6268,30.2313,20.2734
0.25,119,237,12.7529,29.3243,20.6971
0.25,80,78,9.15928,19.7312,13.8276
0.25,81,93,10.1973,19.8361,14.8198
0.25,73,93,9.21803,17.8709,13.0237
0.25,95,83,11.3833,23.4206,16.8163
0.25,93,73,12.8629,22.6035,15.3708
0.25,69,123,9.1723,16.9584,13.3541
0.25,67,74,9.6452,15.9712,10.3133
0.25,118,127,13.1379,28.936,19.0975
0.35,65,99,10.8184,21.7122,14.2446
0.35,77,88,10.952,26.2989,18.081
0.35,55,38,10.7864,18.8584,13.1928
0.35,77,101,13.1069,26.3862,19.0207
0.35,53,137,10.1749,18.0584,13.0506
0.35,54,83,10.0674,18.2823,13.3384
0.35,74,212,8.42923,25.2159,18.6709
0.35,73,83,10.8519,24.9095,19.364
0.35,61,72,9.82095,20.7456,14.2768
0.35,49,68,10.8478,16.5934,10.6635
0.35,62,58,9.29845,20.5231,14.7885
0.35,41,91,7.88481,13.6873,11.291
0.35,76,101,9.40955,25.8513,18.8559
0.35,63,72,10.0684,21.4584,17.7234
0.35,45,68,9.72604,15.352,12.1177
0.35,39,84,7.64525,12.8662,9.67716
0.35,67,86,10.3077,22.3093,14.2046
0.35,68,65,10.1384,23.0635,15.5129
0.35,47,50,7.99635,16.0673,11.3061
0.35,57,102,9.19414,18.9549,12.7499
0.35,49,47,7.99402,16.4724,12.665
0.35,44,77,9.26363,14.6061,10.2901
0.35,54,67,9.97532,18.3264,12.8895
0.35,75,93,11.6272,25.6451,16.6757
0.35,54,90,9.35013,17.943,12.4999
0.35,52,94,13.4744,17.6328,13.4623
0.35,69,92,11.9441,23.4614,18.539
0.35,45,68,8.24838,15.1395,12.0236
0.35,55,70,7.54906,18.5116,13.5536
0.35,58,150,8.73476,19.2832,14.2253
0.45,43,104,10.0468,18.692,12.1074
0.45,38,34,7.15099,16.1035,10.2287
0.45,53,51,9.08039,22.7673,15.3589
0.45,51,83,9.77209,21.8628,16.8678
0.45,26,47,7.43282,10.8134,7.4511
0.45,39,40,8.22429,17.0054,11.9752
0.45,41,101,9.39101,17.7305,12.5604
0.45,54,69,9.12484,23.3408,16.787
0.45,42,54,9.39843,18.3615,13.9384
0.45,43,66,9.11405,18.2595,13.243
0.45,43,58,8.66809,18.1743,12.953
0.45,28,47,7.1731,11.7087,9.09891
0.45,41,73,7.67261,17.8249,14.4667
0.45,49,47,9.83554,21.0379,15.7605
0.45,62,132,12.7566,26.9829,17.6377
0.45,44,85,8.60566,18.8406,14.4683
0.45,53,119,8.95966,22.9446,18.1978
0.45,38,53,9.38363,15.87,11.0252
0.45,50,112,10.1778,21.2427,14.4243
0.45,51,69,11.879,21.8907,14.8148
0.45,37,41,7.63393,15.323,11.6003
0.45,50,88,13.0434,21.5901,16.3689
0.45,46,124,9.27163,19.9136,13.7195
0.45,54,125,11.9849,23.3613,15.4555
0.45,38,42,8.26333,16.4265,11.459
0.45,27,38,7.68162,11.5022,7.58362
0.45,52,85,8.89531,22.6651,16.1519
0.45,41,45,8.96383,17.5413,10.9574
0.45,47,106,8.48506,19.9754,14.7692
0.45,72,169,13.2692,31.5464,21.132
0.55,35,95,9.99126,18.1348,11.1023
0.55,30,38,7.8644,15.3138,11.0302
0.55,35,148,7.20869,17.6699,13.6589
0.55,49,92,9.99703,25.4649,16.5973
0.55,48,62,9.04826,24.8537,17.836
0.55,42,83,10.5655,22.4017,13.8509
0.55,52,104,10.6172,27.1774,19.7913
0.55,59,69,10.3712,30.3124,23.0009
0.55,38,86,10.4057,20.0733,14.4832
0.55,59,124,10.9828,31.2519,19.745
0.55,33,34,8.05874,16.2948,12.4088
0.55,40,77,9.08875,21.0157,12.9137
0.55,52,133,9.75663,27.3613,17.8271
0.55,33,117,9.49515,17.2285,11.5407
0.55,36,86,8.90249,18.742,13.8134
0.55,35,54,11.8962,18.6212,13.1056
0.55,43,76,9.87348,22.9589,15.4563
0.55,54,129,10.8716,28.4479,21.587
0.55,41,74,10.0591,21.6109,15.8146
0.55,45,71,12.0098,23.0141,19.3348
0.55,37,92,10.2686,19.7748,13.1536
0.55,57,64,14.5652,29.9647,20.2158
0.55,26,34,9.44423,13.2827,9.77054
0.55,41,110,8.4238,21.0353,14.9109
0.55,33,86,10.364,17.1184,11.7597
0.55,50,111,12.6393,26.2379,19.2315
0.55,35,47,8.38929,18.5608,13.9066
0.55,37,83,7.94745,18.8674,12.8603
0.55,38,50,7.58678,19.7416,15.4918
0.55,57,103,13.3156,29.7417,20.731
0.65,31,112,11.7328,18.3118,12.1542
0.65,35,59,11.0383,21.3727,13.0021
0.65,34,128,9.81888,20.5651,15.8961
0.65,40,67,9.25943,24.2648,17.3243
0.65,32,67,10.1466,19.5539,13.6469
0.65,32,71,10.4894,19.756,14.3081
0.65,36,71,10.602,22.4364,13.6939
0.65,39,62,9.28564,24.0849,17.9051
0.65,25,72,9.4677,15.1868,12.1535
0.65,19,83,7.84132,11.6018,7.52743
0.65,47,55,9.97304,28.6681,20.5683
0.65,37,150,13.7153,22.4578,15.456
0.65,39,97,10.8785,23.4211,14.1982
0.65,30,101,10.073,18.3692,12.6077
0.65,29,118,10.3658,17.9444,11.078
0.65,36,73,11.9738,22.2037,16.3594
0.65,25,36,8.50706,15.0896,11.0944
0.65,32,99,9.08046,18.882,15.2322
0.65,25,108,11.5088,15.4759,11.3768
0.65,34,98,8.04966,20.5651,14.5643
0.65,34,88,11.0256,20.8299,13.126
0.65,29,86,8.10785,17.8164,13.5471
0.65,25,84,8.19198,15.3452,11.4027
0.65,28,101,7.81079,17.1307,12.1142
0.65,26,35,7.02406,15.7983,12.7912
0.65,29,110,8.45933,17.4001,11.1035
0.65,26,62,7.93521,16.1199,12.6247
0.65,41,93,12.6657,24.8498,16.3226
0.65,37,142,10.2674,22.6036,12.6894
0.65,26,63,10.8966,15.7569,10.8083
0.75,27,56,9.04114,18.2909,13.4206
0.75,28,145,9.35556,19.575,14.4006
0.75,33,139,9.74904,22.9993,18.1348
0.75,25,77,7.50924,17.0973,12.3165
0.75,19,38,7.6663,13.182,8.62771
0.75,26,80,8.94865,17.9313,13.4549
0.75,36,136,10.3116,24.2966,17.2928
0.75,22,61,7.64907,15.2377,10.7557
0.75,30,44,8.81149,21.5658,16.1162
0.75,24,154,9.48037,16.6865,12.6183
0.75,20,41,6.72866,13.4161,9.58632
0.75,27,56,9.42816,19.3695,14.3847
0.75,37,85,11.1775,26.2248,18.7719
0.75,36,102,12.1045,24.3338,15.4787
0.75,26,52,8.77246,17.7872,13.7004
0.75,34,98,11.464,23.9139,16.5929
0.75,22,50,7.52377,14.6955,10.7535
0.75,37,116,10.8176,25.9117,16.8554
0.75,28,83,8.72211,19.8757,13.8498
0.75,44,79,11.3073,30.4377,21.7609
0.75,18,47,7.29584,12.3442,10.0737
0.75,17,66,6.46054,11.6292,7.85314
0.75,21,38,7.49092,13.9178,9.80301
