extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
2.25,9,73,7.2079,16.8055,14.2156
2.25,8,55,7.3801,14.8908,10.2026
2.25,8,54,6.05437,12.5746,8.29329
2.25,11,64,9.63715,21.492,15.8772
2.25,8,69,7.05324,14.4793,10.2145
2.25,10,58,6.41368,16.5188,14.3117
2.25,12,43,9.0065,22.9189,17.1
2.25,11,66,9.58475,18.5996,13.7473
2.25,8,41,6.20231,12.1401,9.23673
2.25,14,68,7.95519,26.985,18.4771
2.25,9,69,8.90002,16.3554,11.6739
2.25,8,43,5.8379,14.0079,9.12328
2.25,12,109,7.08623,23.3316,19.2898
2.25,7,39,6.14809,13.3907,8.90901
2.25,11,122,7.84976,19.0493,15.3012
2.25,11,53,9.48308,19.5811,12.8935
2.25,12,44,7.98425,22.3977,16.3411
2.25,11,126,6.72577,19.6154,13.9237
2.25,8,59,7.70784,14.4757,10.6844
2.25,11,107,5.90217,20.2261,14.9914
2.25,9,94,7.22287,16.4689,11.6998
2.25,8,39,6.66243,14.6518,10.428
2.25,12,49,7.92211,22.0899,15.6067
2.25,8,38,7.1415,13.5865,10.6274
2.25,9,68,5.79,15.5554,10.3353
2.25,18,91,12.2895,34.9078,25.217
2.25,17,62,10.7817,33.1208,21.3477
2.25,7,37,5.88941,12.1886,10.257
2.25,9,41,6.35428,15.0546,10.9878
2.25,16,90,9.04651,28.3259,20.9809
2.25,8,31,6.37112,13.3109,9.74422
2.25,8,47,6.17267,15.1455,10.4492
2.25,9,59,6.98881,16.8274,10.5775
2.25,10,31,6.77674,17.5973,13.7603
2.25,12,49,6.77762,22.5677,17.1763
2.25,9,97,6.51496,14.9407,10.2914
2.25,11,67,7.08589,21.3453,13.9964
2.25,12,90,7.39831,20.9292,14.2565
2.25,9,48,7.43249,16.525,11.3543
2.25,11,70,7.13367,18.8939,15.9003
2.25,9,35,6.19291,16.4796,12.6607
2.25,10,57,8.09522,18.6934,11.5224
2.25,14,123,10.015,27.9745,19.0121
2.25,10,44,7.40534,19.6078,12.74
2.25,10,87,7.85571,19.1701,13.5873
2.25,9,44,6.88704,14.3605,11.0225
2.25,10,57,7.479,16.6657,11.9475
2.25,11,94,8.0429,19.5252,14.2072
2.25,11,45,7.29578,20.4154,15.6872
2.25,9,125,7.78154,17.3559,14.1121
2.25,8,60,7.99045,15.3935,11.5772
2.25,10,124,7.56012,19.6359,15.8451
2.25,10,50,6.75196,18.3906,14.8288
2.25,19,174,14.6529,33.4195,20.2775
2.25,7,37,5.59101,11.5932,9.58147
2.25,13,46,9.97987,22.0896,16.1346
