extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
0.05,278,781,9.76805,13.8095,9.70852
0.05,256,539,8.77773,12.7009,8.94245
0.05,256,482,9.09856,12.7292,8.7931
0.05,322,757,8.7922,16.0325,10.9078
0.05,303,452,8.69732,15.0769,10.8524
0.05,350,950,10.2857,17.4359,12.2813
0.05,383,1403,10.3945,19.076,14.7295
0.05,250,278,8.02999,12.4482,8.67395
0.05,293,517,9.08213,14.5902,9.96216
0.05,276,712,9.80936,13.7016,9.89893
0.05,308,569,8.43649,15.3249,9.63833
0.05,296,577,10.258,14.7206,10.7524
0.05,298,486,8.94161,14.842,9.59544
0.05,291,707,9.50506,14.4907,10.4893
0.05,319,814,11.0283,15.8513,10.3066
0.05,360,1074,10.2071,17.9434,13.0686
0.05,347,796,9.72007,17.2688,11.5415
0.05,251,455,8.71127,12.4789,8.2827
0.05,333,854,11.5296,16.5829,10.5164
0.05,274,745,9.43481,13.6391,9.73435
0.05,287,485,8.64399,14.2571,10.3326
0.05,287,735,10.4917,14.2723,9.62424
0.05,338,854,10.311,16.8129,11.6776
0.05,245,316,8.87034,12.1824,7.82297
0.05,280,588,9.99204,13.9442,9.84411
0.05,309,799,10.2633,15.3968,10.3751
0.05,270,453,8.49948,13.4382,9.01735
0.05,302,609,10.0752,15.026,9.81374
0.05,332,1010,12.6998,16.5465,10.6766
0.05,325,918,12.5305,16.1912,10.8994
0.05,298,546,9.79078,14.817,10.4723
0.05,282,632,9.64752,14.004,10.1158
0.05,299,598,8.22603,14.8632,9.99128
0.05,311,810,9.70129,15.4823,10.5534
0.05,248,416,8.18481,12.304,7.84888
0.05,321,691,9.33288,15.9889,10.796
0.05,269,1119,8.87127,13.3699,9.14133
0.05,334,746,10.1502,16.6391,11.3314
0.05,320,1055,9.3338,15.9076,11.0751
0.05,270,321,8.54541,13.4096,9.19115
0.05,251,422,8.88414,12.4723,8.64984
0.05,279,386,9.06139,13.8604,9.89366
0.05,348,895,10.1496,17.3435,12.1965
0.05,277,681,9.53717,13.7895,9.67285
0.05,295,540,7.90626,14.675,10.4682
0.05,290,450,8.68916,14.4188,9.63397
0.05,337,972,9.45636,16.7951,11.785
0.05,333,724,9.41094,16.5841,11.78
0.05,393,1710,10.1938,19.5934,14.3771
0.05,308,854,10.179,15.3058,10.9987
0.05,325,844,9.43042,16.1653,11.1618
0.05,294,550,9.13703,14.6418,10.0781
0.05,295,734,10.1687,14.6605,10.2139
0.05,245,290,8.51713,12.1528,8.27592
0.05,369,1231,11.3529,18.3733,12.9655
0.05,358,1085,10.891,17.8124,12.1917
0.05,309,697,9.74027,15.3612,10.6093
0.05,358,727,10.5039,17.8034,11.4008
0.05,360,903,10.3233,17.9334,13.2615
0.05,263,417,8.74209,13.0606,8.78036
0.05,278,629,9.10335,13.8381,9.33376
0.05,300,822,10.0579,14.936,10.2871
0.05,317,720,8.54691,15.7679,10.7958
0.05,304,488,10.1088,15.1334,9.72046
0.05,449,833,11.6309,22.3639,15.802
0.05,291,901,9.82727,14.4805,10.3983
0.05,319,949,10.326,15.8681,11.452
0.05,346,954,10.335,17.2358,12.602
0.05,388,948,11.3167,19.3047,13.4568
0.05,301,570,11.2267,14.9608,10.4874
0.05,294,615,8.34692,14.6232,10.9415
0.05,351,748,9.42812,17.4503,13.2269
0.05,263,491,8.37722,13.0529,9.36736
0.05,352,785,10.7698,17.5423,12.3725
0.05,283,555,8.80783,14.0735,9.75915
0.05,298,512,9.8929,14.8148,10.365
0.05,318,1085,9.90333,15.85,11.0344
0.05,253,580,9.0932,12.5904,8.61268
0.05,335,1722,10.3935,16.6606,12.061
0.05,353,1375,12.0658,17.5651,12.146
0.05,327,722,10.1307,16.2999,10.549
0.05,245,261,8.52438,12.1741,8.09984
0.05,317,515,8.58761,15.7725,10.7228
0.05,289,617,9.35932,14.3697,9.95229
0.05,358,795,10.0104,17.8167,12.2231
0.05,262,518,8.6464,13.0037,8.78886
0.05,316,587,8.5779,15.7045,11.02
0.05,289,478,9.46278,14.3615,10.0567
0.05,287,988,10.0735,14.2656,9.58931
0.05,299,593,9.55904,14.8551,10.5341
0.05,310,702,9.6405,15.4094,10.4579
0.05,340,735,9.1823,16.9161,12.6161
0.05,323,930,10.9036,16.0615,11.0035
0.05,320,1091,10.318,15.9348,10.5205
0.05,307,586,8.90746,15.2916,9.98759
0.05,332,1263,11.4986,16.5474,11.9554
0.05,378,1186,10.3812,18.8255,13.5336
0.05,248,283,8.26797,12.3017,8.05161
