extend,number_of_states,RRT_execution_time,gripper_distance_cart,robot_distance_jointspace,path_exec_time
0.95,14,42,6.37992,11.5934,8.31231
0.95,15,45,7.30009,13.2066,9.74355
0.95,20,113,10.8652,17.1012,12.5465
0.95,14,31,7.40843,12.2063,8.12555
0.95,16,65,9.43689,13.3928,9.8422
0.95,19,71,9.81515,16.4136,10.8334
0.95,15,34,6.6826,12.7709,9.20716
0.95,19,59,8.18178,16.8329,10.9815
0.95,15,65,8.0073,12.5391,9.25782
0.95,13,36,7.05563,10.5809,7.71919
0.95,16,58,7.10619,13.8923,9.84783
0.95,18,52,8.85551,15.7725,12.2837
0.95,13,22,7.07605,10.7678,7.16167
0.95,17,69,8.58251,14.6931,11.0559
0.95,15,31,6.92739,12.7919,9.27029
0.95,20,78,8.73166,17.6725,12.5034
0.95,18,52,7.64833,15.5422,11.1334
0.95,17,81,6.54268,14.4885,11.401
0.95,15,64,7.90206,12.7834,9.051
0.95,15,44,7.44097,12.8527,7.92769
0.95,16,79,8.22101,13.8416,9.54635
0.95,15,72,9.15724,12.5776,8.1235
0.95,14,40,7.36882,11.9937,8.77482
0.95,14,48,8.05343,12.1206,8.40852
0.95,15,48,7.27616,13.0074,9.3841
0.95,12,29,7.21986,10.2876,7.11899
0.95,13,27,6.64964,10.722,7.16702
0.95,15,54,8.43256,13.0906,9.2603
0.95,20,114,9.76315,17.2511,13.3299
0.95,19,323,9.42918,16.3076,10.9638
0.95,18,80,9.93542,15.2789,10.2275
0.95,19,68,7.93528,16.7206,10.8382
0.95,13,61,7.50435,11.1897,7.68383
0.95,13,25,7.02326,11.3358,7.89354
0.95,18,186,7.95731,15.3685,10.2302
0.95,15,43,8.37658,12.7847,9.04406
0.95,15,57,7.87546,12.9549,9.15974
0.95,15,58,8.36542,13.2158,9.81385
0.95,24,91,10.3734,21.6457,14.3775
0.95,15,37,6.30726,12.5552,8.4684
0.95,13,25,7.73107,10.5678,7.63921
0.95,15,49,7.44766,12.6843,8.26643
0.95,13,27,7.22388,11.0913,7.07371
0.95,13,28,7.2845,11.0947,7.59256
0.95,13,35,7.30558,10.785,7.31052
0.95,14,73,7.30241,12.1168,8.8731
0.95,15,36,7.85728,12.4671,8.67123
